symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
OPUSDT,240,-1,0.5612,1.0000,1.0000,0.320900,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8440,0.4998,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8503,D,0.5612,0.8118,1.3709,0.122333,0.4998,0.0000,9.35,0.023266,1.0000,0.8025,1,1,1,1.0,3.0,0.033000,0.104394,0.019321,5
LDOUSDT,240,-1,0.6076,1.0000,1.0000,0.650600,0.055960,0.025000,0.045000,0.065000,0.4467,0.8042,0.6852,0.8430,0.7867,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9053,C,0.6076,0.8128,0.8710,0.077267,0.6500,0.0000,10.86,0.019507,1.0000,0.8234,1,1,1,1.0,3.0,0.033000,0.107593,0.014756,5
ICPUSDT,240,-1,0.5723,1.0000,1.0000,3.947000,0.059286,0.025000,0.045000,0.065000,0.4217,0.7590,0.6852,0.8046,0.6270,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8921,D,0.5723,0.8515,1.0928,0.068417,0.6270,0.0000,9.65,0.024999,1.0000,0.8075,1,1,1,1.0,3.0,0.033000,0.102610,0.016975,4
APTUSDT,240,-1,0.5538,1.0000,1.0000,2.025100,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.7468,0.6004,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8926,D,0.5538,0.9175,1.1411,0.053309,0.6004,0.0000,9.23,0.026341,1.0000,0.7992,1,1,1,1.0,3.0,0.033000,0.104291,0.014320,5
WLDUSDT,240,-1,0.5973,1.0000,1.0000,0.627400,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8462,0.7186,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9005,C,0.5973,0.8097,0.9535,0.074063,0.6500,0.0000,9.95,0.021346,1.0000,0.8188,1,1,1,1.0,3.0,0.033000,0.090851,0.025821,5
PENDLEUSDT,240,-1,0.6084,1.0000,1.0000,2.673200,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8331,0.8065,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9037,C,0.6084,0.8225,0.8496,0.077689,0.6500,0.0000,10.14,0.025474,1.0000,0.8238,1,1,1,1.0,3.0,0.033000,0.097075,0.015188,5
1000BONKUSDT,240,-1,0.5923,1.0000,1.0000,0.009611,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8447,0.6900,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8974,D,0.5923,0.8111,0.9930,0.075066,0.6500,0.0000,9.87,0.023774,1.0000,0.8165,1,1,1,1.0,3.0,0.033000,0.102383,0.012590,4
ONDOUSDT,240,-1,0.5830,1.0000,1.0000,0.513300,0.052641,0.025000,0.045000,0.065000,0.4749,0.8548,0.6852,0.7269,0.8093,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9066,C,0.5830,0.9426,0.8466,0.059424,0.6500,0.0000,11.07,0.018751,1.0000,0.8123,1,1,1,1.0,3.0,0.033000,0.103253,0.014222,5
TONUSDT,240,-1,0.5944,1.0000,1.0000,1.578600,0.047131,0.025000,0.045000,0.065000,0.5304,0.9548,0.6852,0.7645,0.8232,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9102,C,0.5944,0.8962,0.8323,0.067618,0.6500,0.0000,12.61,0.016049,1.0000,0.8175,1,1,1,1.0,3.0,0.033000,0.089953,0.024895,6
TAOUSDT,240,-1,0.5769,1.0000,1.0000,293.119995,0.020379,0.025000,0.045000,0.065000,1.2267,2.2081,0.6852,0.8020,0.6596,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9714,C,0.5769,0.8544,1.0388,0.060714,0.6500,0.0000,28.31,0.021079,1.0000,0.8096,0,0,0,0.0,-1.0,-0.020379,0.020060,0.020606,2
RENDERUSDT,240,-1,0.5993,1.0000,1.0000,1.767000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8401,0.7399,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9030,C,0.5993,0.8156,0.9260,0.071804,0.6500,0.0000,9.99,0.024311,1.0000,0.8197,1,1,1,1.0,3.0,0.033000,0.110357,0.009621,4
RPLUSDT,240,-1,0.6075,1.0000,1.0000,2.540000,0.057864,0.025000,0.045000,0.065000,0.4320,0.7777,0.6852,0.8473,0.7798,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9041,C,0.6075,0.8087,0.8787,0.077781,0.6500,0.0000,10.50,0.017466,1.0000,0.8234,1,1,1,1.0,3.0,0.033000,0.088583,0.012205,4
POLUSDT,240,-1,0.5866,1.0000,1.0000,0.133560,0.052524,0.025000,0.045000,0.065000,0.4760,0.8567,0.6852,0.7719,0.7646,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9135,C,0.5866,0.8876,0.8961,0.051912,0.6500,0.0000,11.17,0.016101,1.0000,0.8140,1,1,1,1.0,3.0,0.033000,0.080338,0.013402,5
NEIROUSDT,240,-1,0.5753,1.0000,1.0000,0.000134,0.060000,0.031720,0.059024,0.092753,0.5287,0.9837,0.6852,0.8406,0.5920,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8843,D,0.5753,0.8151,1.1575,0.092061,0.5920,0.0000,9.59,0.042160,1.0000,0.8089,1,1,1,1.0,3.0,0.043284,0.113924,0.029039,5
MOODENGUSDT,240,-1,0.5975,1.0000,1.0000,0.079260,0.060000,0.033308,0.061693,0.096946,0.5551,1.0282,0.6852,0.8389,0.7308,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9109,C,0.5975,0.8167,0.9376,0.071099,0.6500,0.0000,9.96,0.044067,1.0000,0.8189,1,1,1,1.0,3.0,0.045349,0.112162,0.015645,4
ALGOUSDT,240,-1,0.5517,1.0000,1.0000,0.140000,0.056794,0.025000,0.045000,0.065000,0.4402,0.7923,0.6852,0.8452,0.8166,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8730,D,0.5517,0.8107,0.8390,0.083209,0.6500,0.0000,9.71,0.017092,1.0000,0.7983,1,1,1,1.0,3.0,0.033000,0.081429,0.006429,4
