symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,impulse_phase,momentum_acceleration,rsi_slope,volume_impulse_confirm,nearest_support_dist_atr,nearest_resistance_dist_atr,sr_position,ema_stack,price_vs_emas,bb_position,bb_width,elapsed,remaining,label_enter,label_cancel,weight
CAKEUSDT,240,-1,0.6213,1.0000,1.0000,2.326600,0.042800,0.019200,0.035300,0.050200,0.4486,0.8248,0.6852,0.8418,0.8731,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9506,C,0.6213,0.8140,0.7848,0.096371,0.6500,0.0000,14.52,0.020097,1.0000,0.8296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,2.2224
CAKEUSDT,240,-1,0.6213,1.0000,1.0000,2.326600,0.042800,0.019200,0.035300,0.050200,0.4486,0.8248,0.6852,0.8418,0.8731,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9506,C,0.6213,0.8140,0.7848,0.096371,0.6500,0.0000,14.52,0.020097,1.0000,0.8296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,2.2224
APTUSDT,240,-1,0.6151,1.0000,1.0000,1.940700,0.042800,0.022508,0.042015,0.066024,0.5259,0.9817,0.6852,0.8462,0.8282,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9591,C,0.6151,0.8097,0.8273,0.085946,0.6500,0.0000,14.37,0.030011,1.0000,0.8268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,3.4151
APTUSDT,240,-1,0.6151,1.0000,1.0000,1.940700,0.042800,0.022508,0.042015,0.066024,0.5259,0.9817,0.6852,0.8462,0.8282,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9591,C,0.6151,0.8097,0.8273,0.085946,0.6500,0.0000,14.37,0.030011,1.0000,0.8268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,1,0,3.4151
JUPUSDT,240,-1,0.6125,1.0000,1.0000,0.237300,0.042800,0.020160,0.037631,0.059135,0.4710,0.8792,0.6852,0.8394,0.8225,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9566,C,0.6125,0.8163,0.8331,0.082822,0.6500,0.0000,14.31,0.026879,1.0000,0.8256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,3.1066
JUPUSDT,240,-1,0.6125,1.0000,1.0000,0.237300,0.042800,0.020160,0.037631,0.059135,0.4710,0.8792,0.6852,0.8394,0.8225,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9566,C,0.6125,0.8163,0.8331,0.082822,0.6500,0.0000,14.31,0.026879,1.0000,0.8256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,1,0,3.1066
OMUSDT,240,-1,0.6073,1.0000,1.0000,0.074950,0.042800,0.025894,0.048335,0.075955,0.6050,1.1293,0.6852,0.8411,0.7877,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9660,C,0.6073,0.8147,0.8698,0.076805,0.6500,0.0000,14.19,0.034525,1.0000,0.8233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,2.8202
OMUSDT,240,-1,0.6073,1.0000,1.0000,0.074950,0.042800,0.025894,0.048335,0.075955,0.6050,1.1293,0.6852,0.8411,0.7877,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9660,C,0.6073,0.8147,0.8698,0.076805,0.6500,0.0000,14.19,0.034525,1.0000,0.8233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,1,0,2.8202
ENSOUSDT,240,-1,0.6074,1.0000,1.0000,0.711300,0.042800,0.019200,0.035781,0.056228,0.4486,0.8360,0.6852,0.8527,0.7712,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9554,C,0.6074,0.8035,0.8885,0.078712,0.6500,0.0000,14.19,0.025558,1.0000,0.8233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,1,0,2.8717
XLMUSDT,240,-1,0.6044,1.0000,1.0000,0.236360,0.042800,0.019200,0.035300,0.051271,0.4486,0.8248,0.6852,0.8457,0.7630,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9561,C,0.6044,0.8102,0.8980,0.075391,0.6500,0.0000,14.12,0.023305,1.0000,0.8220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,1,0,2.7160
