symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ASTERUSDT,60,-1,0.6181,1.0000,1.0000,0.652200,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8469,0.8458,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9052,C,0.6181,0.8091,0.8101,0.090238,0.6500,0.0000,20.60,0.014609,1.0000,0.8282,1,1,1,1.0,3.0,0.020100,0.074057,0.000767,7
MOVEUSDT,60,-1,0.5620,1.0000,1.0000,0.032270,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8561,0.4865,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8497,D,0.5620,0.8004,1.4083,0.131252,0.4865,0.0000,18.73,0.013267,1.0000,0.8029,1,1,1,1.0,3.0,0.020100,0.072513,0.007747,7
DASHUSDT,60,-1,0.5564,1.0000,1.0000,57.090000,0.030000,0.032230,0.034230,0.040000,1.0743,1.1410,0.6852,0.6180,0.8092,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9250,C,0.5564,1.1086,0.8467,0.072487,0.6180,0.0000,18.55,0.017545,1.0000,0.8004,1,1,0,1.0,2.0,0.032533,0.061482,0.021019,9
MEUSDT,60,-1,0.5882,1.0000,1.0000,0.199500,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8523,0.6535,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8949,D,0.5882,0.8039,1.0485,0.083168,0.6500,0.0000,19.61,0.011523,1.0000,0.8147,1,1,1,1.0,3.0,0.020100,0.064662,0.006015,8
PIPPINUSDT,60,-1,0.5664,1.0000,1.0000,0.389660,0.030000,0.035961,0.067127,0.105486,1.1987,2.2376,0.6852,0.8560,0.5136,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9119,C,0.5664,0.8004,1.3341,0.122014,0.5136,0.0000,18.88,0.047948,1.0000,0.8049,1,1,1,1.0,3.0,0.049147,0.205615,0.008289,4
1000BONKUSDT,60,-1,0.5582,1.0000,1.0000,0.008463,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.6442,0.7809,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8989,D,0.5582,1.0636,0.8775,0.054715,0.6442,0.0000,18.61,0.012540,1.0000,0.8012,1,1,1,1.0,3.0,0.020100,0.066289,0.001182,8
ZAMAUSDT,60,-1,0.6186,1.0000,1.0000,0.041500,0.030000,0.018474,0.034915,0.054866,0.6158,1.1638,0.6852,0.8490,0.8455,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9120,C,0.6186,0.8070,0.8104,0.090702,0.6500,0.0000,20.62,0.024939,1.0000,0.8284,0,0,0,0.0,-1.0,-0.030000,0.002410,0.031325,5
PENDLEUSDT,60,-1,0.5656,1.0000,1.0000,1.971300,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.6446,0.8263,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8899,D,0.5656,1.0629,0.8292,0.073694,0.6446,0.0000,18.85,0.015676,1.0000,0.8045,1,0,0,1.0,1.0,0.010800,0.030640,0.003196,6
DUSKUSDT,60,-1,0.5952,1.0000,1.0000,0.135630,0.030000,0.015969,0.029809,0.046843,0.5323,0.9936,0.6852,0.8454,0.7071,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9064,C,0.5952,0.8105,0.9690,0.074125,0.6500,0.0000,19.84,0.021292,1.0000,0.8178,0,0,0,0.0,-1.0,-0.030000,0.008700,0.044164,2
FETUSDT,60,-1,0.5586,1.0000,1.0000,0.222100,0.030000,0.015000,0.028000,0.042423,0.5000,0.9333,0.6852,0.7581,0.6129,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8999,D,0.5586,0.9038,1.1179,0.053567,0.6129,0.0000,18.62,0.019283,1.0000,0.8014,1,1,1,1.0,3.0,0.020342,0.068888,0.002701,7
DOGEUSDT,60,-1,0.5670,1.0000,1.0000,0.121710,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8567,0.5165,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8589,D,0.5670,0.7998,1.3265,0.121263,0.5165,0.0000,18.90,0.009502,1.0000,0.8051,1,1,1,1.0,3.0,0.020100,0.053406,0.001808,8
