symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
BERAUSDT,1,-1,0.6661,1.0000,1.0000,0.647300,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5647,0.8411,0.6063,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0021,C,0.6647,0.6714,0.9313,0.105741,0.5647,0.0000,333.07,0.000000,1.0000,0.8491,0.0,-1.0,-0.002000,0.000309,0.002008,3
MOVEUSDT,1,-1,0.6364,1.0000,1.0000,0.024390,0.002000,0.005877,0.006000,0.010000,2.9383,3.0000,0.5278,0.8468,0.6908,0.6500,1.0000,0.7126,1.0000,0.5000,0.1692,0.8000,0.3308,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0445,C,0.6092,0.6232,0.7640,0.114041,0.5278,0.0000,318.18,0.000000,1.0000,0.8242,0.0,-1.0,-0.002000,0.002050,0.002050,4
HYPEUSDT,1,-1,0.5825,1.0000,1.0000,31.091999,0.002000,0.004479,0.006000,0.010000,2.2393,3.0000,0.5634,0.4762,0.6914,0.6500,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0201,C,0.5711,1.1831,0.8149,0.082792,0.4762,0.0000,291.26,0.000000,1.0000,0.8070,1.0,1.0,0.004479,0.004696,0.000450,20
MOVEUSDT,1,-1,0.5688,1.0000,1.0000,0.024380,0.002000,0.005469,0.006000,0.010000,2.7345,3.0000,0.5241,0.8133,0.6317,0.6500,1.0000,0.6000,1.0000,0.7000,0.3473,0.8000,0.1412,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0180,C,0.5587,0.6445,0.8297,0.103369,0.5241,0.0000,284.41,0.000000,1.0000,0.8014,0.0,-1.0,-0.002000,0.001641,0.002051,2
XRPUSDT,1,-1,0.5586,1.0000,1.0000,1.521000,0.002000,0.003945,0.006000,0.010000,1.9724,3.0000,0.5278,0.8537,0.6054,0.5000,1.0000,0.7126,1.0000,0.8000,0.3308,0.5000,0.1692,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9709,C,0.5753,0.6182,0.8718,0.139403,0.5000,0.0000,279.31,0.000000,1.0000,0.8089,1.0,1.0,0.003945,0.004865,0.001644,17
BCHUSDT,1,-1,0.5936,1.0000,1.0000,557.039978,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5647,0.8379,0.4806,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9630,C,0.6164,0.6740,1.1750,0.143188,0.4806,0.0000,296.81,0.000000,1.0000,0.8274,0.0,-1.0,-0.002000,0.000036,0.002065,5
AAVEUSDT,1,-1,0.5582,1.0000,1.0000,126.589996,0.002000,0.004068,0.006000,0.010000,2.0341,3.0000,0.5634,0.5019,0.6667,0.5000,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0121,C,0.5515,1.1226,0.8451,0.067750,0.5000,0.0000,279.08,0.000000,1.0000,0.7982,0.0,-1.0,-0.002000,0.000000,0.002370,3
HUSDT,1,-1,0.6452,1.0000,1.0000,0.245110,0.007197,0.017312,0.018551,0.028669,2.4055,2.5776,0.5630,0.6524,0.5871,0.6500,1.0000,0.9701,1.0000,0.8000,0.5425,0.3000,0.0694,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0714,C,0.6022,0.8630,0.9590,0.039022,0.5630,0.0000,89.65,0.000000,1.0000,0.8210,1.0,1.0,0.017312,0.019746,0.005345,5
BERAUSDT,1,-1,0.5700,1.0000,1.0000,0.647300,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5647,0.5066,0.6763,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9846,C,0.5789,1.1148,0.8349,0.067645,0.5066,0.0000,284.99,0.000000,1.0000,0.8105,0.0,-1.0,-0.002000,0.000000,0.002008,2
TRUMPUSDT,1,-1,0.5692,1.0000,1.0000,3.423000,0.002327,0.003000,0.006000,0.010000,1.2892,2.5784,0.5634,0.8381,0.3946,0.6500,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9183,C,0.6199,0.6723,1.4278,0.159819,0.3946,0.0000,244.60,0.000000,1.0000,0.8289,1.0,1.0,0.003000,0.003214,0.002045,33
