symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
IRUSDT,5,1,0.6035,1.0000,0.0000,0.074490,0.003875,0.028690,0.228690,0.428690,7.4039,59.0165,0.6852,0.9098,0.9256,0.0000,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9070,C,0.6035,0.7531,0.7403,0.376030,0.0000,1.0000,155.74,0.006524,0.1500,0.8216,0,0,0,0.0,-1.0,-0.003875,0.001342,0.004430,1
POWERUSDT,5,-1,0.6029,0.1446,0.2784,0.309200,0.008000,0.010443,0.019494,0.030634,1.3054,2.4368,0.3684,0.9089,0.9165,0.6500,1.0000,0.6446,0.1446,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9095,C,0.6029,0.4053,0.4019,0.224995,0.3684,0.1339,75.37,0.013924,1.0000,0.8213,0,0,0,0.0,-1.0,-0.008000,0.000906,0.008538,1
GALAUSDT,5,-1,0.6478,1.0000,0.0000,0.004050,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8683,0.7563,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9845,C,0.6478,0.7891,0.9060,0.083427,0.6500,1.0000,80.97,0.005090,1.0000,0.8415,1,0,0,1.0,1.0,0.003940,0.007407,0.002469,7
AWEUSDT,5,-1,0.6302,1.0000,0.0000,0.089140,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.7655,0.8090,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9894,C,0.6302,0.8951,0.8470,0.063009,0.6500,1.0000,78.78,0.003880,1.0000,0.8336,1,1,1,1.0,3.0,0.007440,0.019071,0.000561,24
ALGOUSDT,5,-1,0.6167,1.0000,0.0000,0.093500,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8887,0.5459,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9417,C,0.6167,0.7710,1.2552,0.124360,0.5459,1.0000,77.08,0.003781,1.0000,0.8275,1,0,0,1.0,1.0,0.003940,0.007487,0.002139,8
PENGUUSDT,5,-1,0.6369,1.0000,0.0000,0.007077,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8968,0.6507,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9662,C,0.6369,0.7640,1.0531,0.102690,0.6500,1.0000,79.61,0.005061,1.0000,0.8366,0,0,0,0.0,-1.0,-0.008000,0.002967,0.008902,13
COMPUSDT,5,-1,0.6020,0.1947,0.3156,19.260000,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.3869,0.8951,0.8237,0.6500,1.0000,0.6947,0.1947,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8718,D,0.6020,0.4323,0.4697,0.195815,0.3869,0.1208,75.25,0.003211,1.0000,0.8209,1,1,1,1.0,3.0,0.007440,0.018172,0.003115,48
WIFUSDT,5,-1,0.6258,1.0000,0.0000,0.231500,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8777,0.6150,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9614,C,0.6258,0.7807,1.1141,0.101633,0.6150,1.0000,78.22,0.004077,1.0000,0.8316,1,0,0,1.0,1.0,0.003940,0.005616,0.001728,6
BERAUSDT,5,-1,0.6203,1.0000,0.0000,0.643800,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.9002,0.5495,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9412,C,0.6203,0.7611,1.2469,0.127859,0.5495,1.0000,77.54,0.004959,1.0000,0.8291,1,0,0,1.0,1.0,0.003940,0.006524,0.003883,13
GALAUSDT,5,-1,0.6411,1.0000,0.0000,0.004050,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8687,0.7170,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9812,C,0.6411,0.7887,0.9557,0.083402,0.6500,1.0000,80.14,0.005079,1.0000,0.8385,1,0,0,1.0,1.0,0.003940,0.007407,0.000000,6
BEATUSDT,5,-1,0.6221,1.0000,0.0000,0.241400,0.008000,0.005200,0.010502,0.017000,0.6500,1.3128,0.6852,0.8980,0.5635,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9453,C,0.6221,0.7630,1.2160,0.123029,0.5635,1.0000,77.77,0.007502,1.0000,0.8300,1,0,0,1.0,1.0,0.003940,0.009528,0.005799,7
FOGOUSDT,5,-1,0.6407,1.0000,0.0000,0.024430,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8824,0.6942,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9761,C,0.6407,0.7765,0.9870,0.090708,0.6500,1.0000,80.09,0.006321,1.0000,0.8383,1,0,0,1.0,1.0,0.003940,0.006549,0.006549,12
