Started Kafka consumer, listening on topic: candles.close
Received candle close event: PIPPINUSDT 5m at 1770948899999
Received candle close event: ZROUSDT 5m at 1770948899999
Received candle close event: SOLUSDT 1m at 1770948899999
Received candle close event: SUIUSDT 15m at 1770948899999
Received candle close event: ETHUSDT 5m at 1770948899999
Received candle close event: MOODENGUSDT 1m at 1770948899999
Received candle close event: PIPPINUSDT 1m at 1770948899999
Received candle close event: ZROUSDT 1m at 1770948899999
Received candle close event: SOLUSDT 15m at 1770948899999
Received candle close event: 1000PEPEUSDT 15m at 1770948899999
Received candle close event: ETHUSDT 1m at 1770948899999
Received candle close event: MOODENGUSDT 5m at 1770948899999
Received candle close event: BERAUSDT 5m at 1770948899999
Received candle close event: DOTUSDT 1m at 1770948899999
Received candle close event: WIFUSDT 15m at 1770948899999
Received candle close event: BCHUSDT 15m at 1770948899999
Received candle close event: WLDUSDT 15m at 1770948899999
Received candle close event: BERAUSDT 15m at 1770948899999
Received candle close event: AVAXUSDT 1m at 1770948899999
Received candle close event: WIFUSDT 1m at 1770948899999
Received candle close event: ARBUSDT 5m at 1770948899999
Received candle close event: LTCUSDT 5m at 1770948899999
Received candle close event: BERAUSDT 1m at 1770948899999
Received candle close event: AVAXUSDT 5m at 1770948899999
Received candle close event: WIFUSDT 5m at 1770948899999
Received candle close event: ARBUSDT 15m at 1770948899999
Received candle close event: LTCUSDT 1m at 1770948899999
Received candle close event: SIRENUSDT 1m at 1770948899999
Received candle close event: TNSRUSDT 1m at 1770948899999
Received candle close event: UNIUSDT 15m at 1770948899999
Received candle close event: SUIUSDT 1m at 1770948899999
Received candle close event: LTCUSDT 15m at 1770948899999
Received candle close event: TNSRUSDT 15m at 1770948899999
Received candle close event: UNIUSDT 1m at 1770948899999
Received candle close event: DOTUSDT 5m at 1770948899999
Received candle close event: TNSRUSDT 5m at 1770948899999
Received candle close event: DOTUSDT 15m at 1770948899999
Received candle close event: SIRENUSDT 5m at 1770948899999
Received candle close event: LINEAUSDT 5m at 1770948899999
Received candle close event: LINEAUSDT 15m at 1770948899999
Received candle close event: SIRENUSDT 15m at 1770948899999
Received candle close event: LINEAUSDT 1m at 1770948899999
Received candle close event: BTRUSDT 15m at 1770948899999
Received candle close event: BTRUSDT 5m at 1770948899999
Received candle close event: BTRUSDT 1m at 1770948899999
Received candle close event: AZTECUSDT 1m at 1770948899999
